Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
SC2,16/04/2024,19:45,Edinburgh City,Montrose,1,0,H,0,0,D,D McFarlane,12,6,5,2,9,8,2,7,2,2,0,0,8,5.5,1.29,7.25,5.5,1.28,,,,8.42,5.58,1.31,8,5.5,1.25,9,5.5,1.29,9.5,6,1.33,8.06,5.38,1.29,1.44,2.63,1.44,2.74,1.45,2.88,1.42,2.71,1.5,2.05,1.77,2,1.85,2.05,1.87,1.94,1.81,8,5.5,1.29,7.25,5.5,1.28,,,,8.44,5.48,1.31,8,5.5,1.25,9.5,5.75,1.25,9.5,6,1.32,8.21,5.41,1.29,1.44,2.63,1.48,2.59,1.48,2.88,1.44,2.66,1.5,2.05,1.8,1.97,1.88,2.05,1.88,1.95,1.82
SC2,20/04/2024,15:00,Edinburgh City,Annan Athletic,1,2,A,1,1,D,R Hardie,5,15,2,6,16,10,4,3,4,1,0,0,6,6,1.29,5.75,5.25,1.35,,,,6.3,5.01,1.42,6.5,4.6,1.36,6.5,4.8,1.4,6.5,6,1.43,5.95,5.05,1.39,1.36,3,1.4,2.88,1.42,3.1,1.37,2.9,1.25,,,1.99,1.86,2.03,1.87,1.93,1.81,5,5.75,1.36,5.75,4.75,1.38,,,,5.18,5.26,1.47,6.5,4.8,1.36,7,5,1.36,7,6.05,1.47,5.62,5.19,1.4,1.36,3,1.41,2.85,1.4,3.05,1.36,2.98,1.25,2.05,1.75,1.92,1.93,2.05,1.93,1.93,1.84
SC2,20/04/2024,15:00,Falkirk,Kelty Hearts,2,2,D,2,2,D,G Irvine,10,16,3,4,10,8,4,7,2,0,1,0,1.14,7.5,13,1.13,7.5,13.5,,,,1.15,8.76,12.59,1.1,7.5,17,1.12,8,17,1.15,8.76,18,1.13,7.85,14.29,1.33,3.25,,,1.34,3.5,1.31,3.25,-2.25,1.9,1.95,1.93,1.91,1.93,1.96,1.86,1.89,1.18,6,10,1.17,6.75,10.5,,,,1.18,8.04,11,1.14,7,13,1.17,7,13,1.2,8.04,16,1.17,7.07,11.6,1.33,3.25,,,1.36,3.3,1.33,3.14,-2.25,2.08,1.73,2.06,1.76,2.08,1.89,2.03,1.75
SC2,20/04/2024,15:00,Montrose,Hamilton,1,2,A,1,1,D,A Muir,8,15,2,6,11,8,9,3,0,0,0,0,3.3,4,1.8,3.5,3.75,1.75,,,,3.66,3.92,1.86,3.7,3.7,1.8,3.75,3.75,1.83,3.9,4.1,1.87,3.65,3.79,1.82,1.57,2.35,1.65,2.24,1.65,2.35,1.6,2.25,0.5,1.98,1.83,1.98,1.87,1.99,1.87,1.93,1.81,3.4,4.2,1.75,3.4,3.7,1.8,,,,3.8,4.14,1.79,3.5,3.75,1.83,3.75,3.9,1.8,4.1,4.37,1.85,3.61,3.91,1.8,1.53,2.38,1.54,2.43,1.57,2.5,1.53,2.4,0.5,2.03,1.78,2.06,1.78,2.06,1.86,1.96,1.79
SC2,20/04/2024,15:00,Stirling,Queen of Sth,0,0,D,0,0,D,L Wilson,10,10,4,6,16,7,8,6,1,1,0,0,2.4,3.75,2.3,2.4,3.4,2.4,,,,2.69,3.6,2.41,2.5,3.4,2.45,2.6,3.4,2.5,2.69,3.85,2.55,2.55,3.56,2.43,1.73,2.08,1.76,2.07,1.77,2.1,1.74,2.01,0,1.95,1.9,2.04,1.82,2.04,1.9,1.94,1.83,1.95,3.8,2.88,2.15,3.3,2.8,,,,2.32,3.35,2.99,2.15,3.5,2.9,2.2,3.5,2.9,2.32,3.9,3.1,2.18,3.5,2.91,1.75,2.05,1.79,2.02,1.81,2.07,1.74,2.01,-0.25,1.9,2.05,2.02,1.84,2.02,2.05,1.92,1.84
SC2,20/04/2024,17:30,Cove Rangers,Alloa,2,3,A,0,1,A,C Graham,11,9,9,6,7,5,7,8,4,1,0,0,2.6,3.6,2.2,2.45,3.5,2.3,,,,2.77,3.77,2.29,2.6,3.7,2.3,2.63,3.6,2.38,2.77,3.9,2.41,2.62,3.68,2.31,1.44,2.63,1.49,2.58,1.5,2.63,1.47,2.56,0,2.05,1.75,2.11,1.74,2.11,1.8,2.01,1.76,2.4,3.75,2.4,2.25,3.5,2.5,,,,2.21,4.01,2.76,2.15,3.7,2.75,2.38,3.75,2.55,2.47,4.01,2.85,2.24,3.77,2.66,1.5,2.5,1.51,2.51,1.52,2.65,1.48,2.54,-0.25,2.15,1.68,1.97,1.88,2.15,1.88,2,1.77
